boro,precinct,statistical_murder_flag,vic_age_group,vic_sex,vic_race
the Bronx,49,FALSE,18-24,female,Black
the Bronx,49,TRUE,18-24,female,Black
the Bronx,49,FALSE,18-24,male,Black
the Bronx,49,TRUE,18-24,male,Black
the Bronx,49,FALSE,25-44,male,Black
the Bronx,49,TRUE,25-44,male,Black
Queens,102,TRUE,18-24,male,Asian / Pacific Islander
Queens,101,FALSE,45-64,male,White Hispanic
the Bronx,42,FALSE,25-44,male,Black
Brooklyn,73,FALSE,18-24,male,Black
the Bronx,52,FALSE,25-44,male,Black
Staten Island,120,FALSE,25-44,male,White Hispanic
the Bronx,41,FALSE,18-24,male,White Hispanic
Brooklyn,63,FALSE,<18,male,Black
Manhattan,23,FALSE,18-24,male,Black
Manhattan,34,FALSE,25-44,male,Unknown
Brooklyn,77,FALSE,25-44,male,Black
Manhattan,33,FALSE,18-24,male,Black Hispanic
Brooklyn,84,FALSE,65+,male,Black
the Bronx,46,FALSE,45-64,male,Black
Queens,103,FALSE,25-44,male,Black
Brooklyn,83,FALSE,25-44,male,Black Hispanic
Brooklyn,73,FALSE,18-24,male,Black
Queens,103,FALSE,45-64,female,Black
Brooklyn,67,FALSE,18-24,male,Black
the Bronx,40,FALSE,25-44,male,Black Hispanic
Manhattan,30,FALSE,25-44,male,White Hispanic
Manhattan,30,FALSE,25-44,male,White Hispanic
Staten Island,120,FALSE,18-24,male,Black
the Bronx,42,FALSE,18-24,male,Black
Staten Island,120,FALSE,25-44,male,Black
Brooklyn,79,FALSE,18-24,male,Black
the Bronx,44,FALSE,18-24,male,White Hispanic
the Bronx,44,FALSE,<18,male,White Hispanic
Brooklyn,75,FALSE,<18,male,Black
Brooklyn,84,FALSE,18-24,male,Black
Brooklyn,81,FALSE,25-44,male,Black
Manhattan,24,FALSE,<18,male,Black
the Bronx,40,FALSE,18-24,male,White Hispanic
Queens,101,FALSE,18-24,male,Black
Queens,101,FALSE,<18,male,Black
Brooklyn,79,FALSE,25-44,male,Black
Queens,114,FALSE,18-24,male,Black
Brooklyn,79,FALSE,18-24,male,Black
Brooklyn,79,FALSE,18-24,male,Black
Brooklyn,81,FALSE,25-44,male,Black
the Bronx,40,FALSE,18-24,male,White Hispanic
the Bronx,41,FALSE,25-44,male,Black
Staten Island,120,FALSE,18-24,male,Black
the Bronx,44,FALSE,25-44,male,Black
the Bronx,44,TRUE,25-44,male,White Hispanic
the Bronx,44,FALSE,25-44,male,Black
Brooklyn,79,FALSE,25-44,male,Black
Brooklyn,71,FALSE,25-44,male,Black
Queens,113,FALSE,25-44,male,Black
Brooklyn,73,FALSE,25-44,male,Black
the Bronx,46,FALSE,25-44,male,White Hispanic
the Bronx,46,FALSE,25-44,male,White Hispanic
the Bronx,52,TRUE,25-44,male,Black
Queens,108,FALSE,18-24,male,Black
Manhattan,23,FALSE,<18,male,Black
Manhattan,23,FALSE,<18,male,Black Hispanic
Queens,114,TRUE,25-44,female,White
Queens,114,TRUE,45-64,female,White
Queens,114,TRUE,<18,male,White
Brooklyn,81,FALSE,25-44,male,Black
Queens,113,FALSE,25-44,male,Black
the Bronx,47,FALSE,18-24,male,Black
the Bronx,47,FALSE,25-44,female,Black
Brooklyn,73,FALSE,25-44,male,Black
Manhattan,26,TRUE,18-24,male,Black
Queens,114,FALSE,25-44,male,Black
Queens,114,FALSE,25-44,male,Black
Queens,114,FALSE,18-24,male,Black
Brooklyn,75,FALSE,<18,male,Black
Brooklyn,61,FALSE,25-44,male,Black
Brooklyn,60,FALSE,18-24,male,Black
the Bronx,44,FALSE,18-24,male,Black
Queens,106,FALSE,18-24,male,Black
Brooklyn,75,FALSE,18-24,male,Black
Brooklyn,83,FALSE,18-24,male,Black Hispanic
Brooklyn,83,FALSE,18-24,male,White Hispanic
Brooklyn,83,TRUE,18-24,male,Black Hispanic
Brooklyn,83,TRUE,18-24,male,White Hispanic
the Bronx,44,FALSE,45-64,male,Black Hispanic
Brooklyn,73,FALSE,25-44,male,Black
Brooklyn,90,FALSE,18-24,male,Black
Queens,113,FALSE,25-44,male,Black
Manhattan,34,FALSE,25-44,male,White Hispanic
Manhattan,28,FALSE,18-24,male,Black
the Bronx,47,FALSE,25-44,male,Black
Brooklyn,71,FALSE,25-44,male,Black
Brooklyn,67,FALSE,25-44,male,Black
the Bronx,49,FALSE,18-24,male,White Hispanic
Queens,105,FALSE,25-44,male,Black
Queens,114,FALSE,25-44,female,Black
Queens,114,FALSE,25-44,male,Black
Brooklyn,79,FALSE,25-44,male,Black
Manhattan,28,FALSE,<18,male,Black
Brooklyn,88,FALSE,18-24,male,Black
Queens,113,FALSE,25-44,male,Black
Queens,106,FALSE,25-44,male,Black
the Bronx,44,FALSE,25-44,male,White Hispanic
